Customer Id,YearOfObservation,Insured_Period,Residential,Building_Painted,Building_Fenced,Garden,Settlement,Building Dimension,Building_Type,NumberOfWindows,Geo_Code,Claim
H426,2016,1.0,0,V,N,O,R,765.0,Non-combustible,8,13205,non
H7279,2015,0.5,0,V,N,O,R,997.0,Wood-framed,4,6012,non
H13437,2012,1.0,0,N,V,V,U,1460.0,Ordinary,without,92004,oui
H2673,2012,1.0,0,V,N,O,R,615.0,Fire-resistive,3,74208,non
H6784,2016,0.5,1,V,N,O,R,364.0,Non-combustible,4,51454,non
H6460,2013,1.0,0,V,N,O,R,2138.0,Wood-framed,4,6088,oui
H12716,2012,1.0,0,N,V,V,U,700.0,Fire-resistive,without,46176,non
H70,2014,1.0,0,N,V,V,U,600.0,Non-combustible,without,13206,oui
H2066,2013,1.0,0,N,V,V,U,1220.0,Non-combustible,without,13206,non
H1529,2016,0.5,0,V,V,V,U,1300.0,Non-combustible,without,34902,non
H6869,2013,1.0,0,V,N,O,R,470.0,Non-combustible,4,13203,oui
H7027,2015,1.0,1,V,V,V,U,2609.0,Non-combustible,without,83048,non
H13792,2013,1.0,0,N,V,V,U,8950.0,Fire-resistive,without,17300,non
H16368,2013,0.5,1,V,N,O,R,400.0,Non-combustible,3,95176,non
H3778,2012,1.0,0,N,V,V,U,250.0,Non-combustible,without,14118,non
H14466,2014,1.0,0,N,V,V,U,500.0,Fire-resistive,without,74173,non
H4752,2016,0.5,1,V,N,O,R,882.0,Wood-framed,6,75105,non
H18165,2016,1.0,0,V,N,O,R,7678.0,Fire-resistive,6,73222,non
H14502,2014,0.5,1,N,V,V,U,400.0,Wood-framed,without,6159,non
H13555,2014,1.0,0,V,N,O,R,900.0,Ordinary,4,59599,non
H2371,2013,0.5,0,V,V,V,U,350.0,Fire-resistive,without,54547,non
H4576,2015,1.0,0,N,V,V,U,640.0,Non-combustible,without,13202,non
H19899,2016,1.0,1,V,N,O,R,1200.0,Fire-resistive,4,74279,non
H18595,2014,1.0,1,V,N,O,R,1274.0,Ordinary,5,92073,non
H2769,2014,1.0,0,V,N,O,R,990.0,Non-combustible,5,62826,non
H1652,2015,1.0,1,V,V,V,U,1100.0,Non-combustible,without,38486,oui
H15638,2016,0.5,0,V,N,O,R,750.0,Non-combustible,3,83129,non
H2203,2013,1.0,0,V,V,V,U,1192.0,Non-combustible,without,13206,non
H5429,2012,1.0,0,N,V,V,U,585.0,Fire-resistive,without,19031,non
H6152,2012,1.0,0,V,V,V,U,390.0,Fire-resistive,without,36044,non
H15698,2012,1.0,1,V,N,O,R,5264.0,Fire-resistive,5,33063,non
H4227,2013,1.0,1,N,V,V,U,179.0,Ordinary,without,33063,non
H18103,2014,1.0,0,V,N,O,R,660.0,Fire-resistive,3,19123,oui
H17190,2012,1.0,1,V,N,O,R,1230.0,Non-combustible,5,77464,oui
H19112,2015,1.0,1,V,N,O,R,4400.0,Fire-resistive,5,13054,non
H13105,2012,1.0,0,N,V,V,U,820.0,Non-combustible,without,34301,non
H13949,2015,1.0,1,N,V,V,U,1440.0,Wood-framed,without,75115,oui
H5265,2014,1.0,1,N,V,V,U,400.0,Ordinary,without,94080,oui
H15021,2013,1.0,1,N,V,V,U,1376.0,Non-combustible,without,64024,non
H13348,2012,1.0,0,N,V,V,U,243.0,Wood-framed,without,6083,non
H5582,2013,0.5,0,N,V,V,U,1930.0,Non-combustible,without,57480,oui
H18889,2014,0.5,0,V,N,O,R,500.0,Non-combustible,2,68224,non
H1639,2015,1.0,0,V,N,O,R,1398.0,Non-combustible,5,62201,non
H652,2013,1.0,1,V,V,V,U,350.0,Wood-framed,without,6159,non
H19966,2016,0.5,1,V,N,O,R,3300.0,Wood-framed,2,6029,non
H18710,2012,0.5,0,V,N,O,R,15000.0,Non-combustible,5,57463,oui
H18175,2015,1.0,1,V,N,O,R,350.0,Ordinary,5,83137,non
H16861,2015,0.5,1,V,N,O,R,5210.0,Non-combustible,8,78383,non
H17306,2013,1.0,0,V,N,O,R,3111.0,Non-combustible,3,83009,non
H4649,2013,1.0,0,V,N,O,R,1798.0,Fire-resistive,5,63075,oui
H13917,2014,0.5,0,N,V,V,U,467.0,Non-combustible,without,69383,oui
H14759,2013,1.0,1,N,V,V,U,30.0,Ordinary,without,94015,non
H3031,2013,1.0,0,V,V,V,U,450.0,Fire-resistive,without,42207,non
H5205,2015,0.5,0,V,V,V,U,434.0,Fire-resistive,without,91174,oui
H3994,2013,1.0,0,N,V,V,U,19495.0,Non-combustible,without,69290,oui
H2120,2014,0.5,0,V,V,V,U,600.0,Non-combustible,without,13209,non
H3783,2013,0.5,0,N,V,V,U,300.0,Fire-resistive,without,84007,non
H2112,2014,1.0,0,V,N,O,R,1350.0,Non-combustible,4,26058,non
H2492,2015,1.0,0,V,V,V,U,950.0,Non-combustible,without,13202,non
H6953,2012,0.5,1,N,V,V,U,394.0,Wood-framed,without,75113,non
H13183,2013,0.5,0,N,V,V,U,570.0,Non-combustible,without,34301,non
H13766,2016,0.5,0,V,N,O,R,3380.0,Ordinary,5,2A004,oui
H4307,2013,1.0,0,N,V,V,U,300.0,Wood-framed,without,6083,non
H16336,2014,0.5,0,V,N,O,R,360.0,Non-combustible,2,83137,non
H647,2012,1.0,0,V,V,V,U,1500.0,Wood-framed,without,6088,oui
H2911,2014,1.0,1,V,V,V,U,980.0,Non-combustible,without,14079,non
H16693,2014,1.0,0,V,N,O,R,1264.0,Ordinary,5,93048,non
H16170,2013,1.0,0,V,N,O,R,678.0,Non-combustible,2,76655,oui
H15526,2012,1.0,1,V,N,O,R,1285.0,Ordinary,5,92073,non
H1869,2012,1.0,0,V,V,V,U,2460.0,Fire-resistive,without,74241,non
H17160,2012,1.0,0,V,N,O,R,7055.0,Non-combustible,6,31555,non
H12748,2016,0.5,0,N,V,V,U,798.0,Fire-resistive,without,81163,oui
H19804,2015,0.5,0,V,N,O,R,934.0,Non-combustible,4,31555,non
H7367,2012,1.0,1,N,V,V,U,1941.0,Non-combustible,without,31555,oui
H19405,2015,1.0,0,V,N,O,R,11000.0,Wood-framed,6,6104,oui
H1892,2012,1.0,0,V,V,V,U,2041.0,Fire-resistive,without,21171,non
H13197,2016,0.5,0,N,V,V,U,1620.0,Non-combustible,without,29151,non
H17663,2012,1.0,0,V,N,O,R,380.0,Non-combustible,2,69029,non
H5626,2013,1.0,0,V,V,V,U,4372.0,Ordinary,without,92050,non
H7083,2012,1.0,1,V,V,V,U,3287.0,Fire-resistive,without,13104,non
H13701,2016,0.5,0,V,N,O,R,250.0,Ordinary,4,33063,oui
H17075,2014,1.0,1,V,N,O,R,350.0,Ordinary,4,92009,non
H14990,2013,1.0,1,N,V,V,U,20840.0,Ordinary,without,94019,oui
H4246,2012,1.0,1,N,V,V,U,800.0,Non-combustible,without,13201,oui
H13643,2016,0.5,1,N,N,O,R,2146.0,Wood-framed,7,75114,non
H5462,2013,1.0,0,V,V,V,U,4700.0,Wood-framed,without,6083,oui
H2687,2014,0.5,0,N,V,V,U,2420.0,Non-combustible,without,13203,non
H5574,2012,0.5,0,N,V,V,U,450.0,Non-combustible,without,67506,non
H6994,2012,1.0,0,N,V,V,U,1000.0,Non-combustible,without,13208,non
H7136,2012,0.5,0,V,V,V,U,1032.0,Non-combustible,without,69259,non
H7281,2014,0.5,0,N,V,V,U,400.0,Ordinary,without,83137,oui
H14586,2012,1.0,1,N,V,V,U,651.0,Fire-resistive,without,91174,non
H15969,2016,1.0,1,V,N,O,R,3570.0,Ordinary,>=10,94071,oui
H17089,2013,0.5,0,V,N,O,R,2471.0,Wood-framed,5,6088,non
H7035,2014,1.0,0,N,V,V,U,797.0,Fire-resistive,without,74137,non
H5236,2012,1.0,1,N,V,V,U,180.0,Fire-resistive,without,91573,non
H18894,2012,0.5,1,V,N,O,R,2470.0,Non-combustible,2,31157,non
H5139,2014,1.0,1,V,N,O,R,870.0,Wood-framed,5,75116,non
H3004,2015,0.5,1,V,V,V,U,685.0,Wood-framed,without,6088,non
H17641,2013,1.0,0,V,N,O,R,3448.0,Wood-framed,>=10,75118,oui
H15946,2013,1.0,1,V,N,O,R,865.0,Wood-framed,6,75104,non
H2859,2014,0.5,1,V,V,V,U,1125.0,Wood-framed,without,6088,non
H18203,2015,1.0,1,V,N,O,R,6300.0,Non-combustible,5,13213,non
H4354,2012,1.0,0,N,V,V,U,385.0,Non-combustible,without,76351,non
H19127,2013,0.5,0,V,N,O,R,300.0,Non-combustible,3,13216,oui
H6430,2012,1.0,1,N,V,V,U,1630.0,Wood-framed,without,75115,oui
H3621,2015,1.0,0,V,V,V,U,3490.0,Fire-resistive,without,73198,non
H6454,2013,1.0,0,N,V,V,U,1920.0,Non-combustible,without,13214,non
H2166,2015,0.5,0,V,V,V,U,707.0,Fire-resistive,without,87106,non
H16159,2014,0.5,1,V,N,O,R,6671.0,Ordinary,4,93070,non
H5380,2013,1.0,0,V,V,V,U,1092.0,Fire-resistive,without,74042,non
H6227,2016,0.5,0,V,N,O,R,4400.0,Non-combustible,4,64129,oui
H5104,2013,1.0,0,V,V,V,U,1062.0,Fire-resistive,without,74056,non
H18117,2012,1.0,1,V,N,O,R,6036.0,Non-combustible,3,69256,non
H13443,2012,1.0,0,N,V,V,U,1180.0,Non-combustible,without,83118,non
H16475,2013,1.0,0,V,N,O,R,4179.0,Non-combustible,3,38563,non
H18713,2014,1.0,0,V,N,O,R,750.0,Wood-framed,3,6069,non
H19436,2016,0.5,0,V,N,O,R,1300.0,Non-combustible,4,13215,non
H5167,2012,1.0,0,V,V,V,U,3140.0,Fire-resistive,without,43157,oui
H288,2014,1.0,0,V,V,V,U,1660.0,Non-combustible,without,14327,non
H4498,2012,1.0,1,V,V,V,U,260.0,Ordinary,without,33063,non
H6831,2014,0.5,0,N,V,V,U,2900.0,Non-combustible,without,64129,non
H3298,2015,1.0,0,V,N,O,R,750.0,Non-combustible,5,62826,non
H1367,2012,0.5,1,V,V,V,U,2713.0,Wood-framed,without,6083,non
H3362,2013,1.0,0,N,V,V,U,2500.0,Ordinary,without,64445,non
H19090,2015,1.0,0,V,N,O,R,3600.0,Non-combustible,3,59367,non
H15026,2012,1.0,1,N,V,V,U,1430.0,Fire-resistive,without,74173,non
H6255,2013,1.0,0,N,V,V,U,475.0,Non-combustible,without,64249,non
H2136,2012,1.0,0,V,V,V,U,4943.0,Non-combustible,without,42218,oui
H12717,2016,1.0,0,N,V,V,U,700.0,Fire-resistive,without,46176,non
H7213,2013,0.5,1,N,V,V,U,265.0,Wood-framed,without,75112,non
H7236,2015,1.0,0,N,V,V,U,1040.0,Non-combustible,without,78650,non
H18935,2014,1.0,0,V,N,O,R,4112.0,Wood-framed,5,6011,non
H15201,2012,1.0,1,V,N,O,R,12473.0,Non-combustible,>=10,69266,non
H16679,2012,1.0,0,V,N,O,R,2450.0,Ordinary,4,33063,non
H2792,2012,1.0,0,V,N,O,R,2192.0,Non-combustible,3,68271,oui
H7299,2013,1.0,0,N,V,V,U,2886.0,Non-combustible,without,26362,non
H17161,2013,1.0,0,V,N,O,R,400.0,Fire-resistive,5,10387,non
H17013,2014,1.0,1,V,N,O,R,380.0,Non-combustible,3,13210,non
H13881,2013,1.0,0,N,V,V,U,600.0,Non-combustible,without,13203,non
H17203,2015,1.0,0,V,N,O,R,960.0,Ordinary,3,92048,non
H5027,2012,1.0,1,V,N,O,R,3376.0,Ordinary,4,33281,oui
H17167,2012,1.0,1,V,N,O,R,6890.0,Non-combustible,7,69202,oui
H3937,2016,0.5,0,V,V,V,U,800.0,Non-combustible,without,34172,non
H6670,2013,1.0,0,N,V,V,U,414.0,Ordinary,without,93006,non
H19934,2016,0.5,1,V,N,O,R,750.0,Fire-resistive,3,19031,non
H13097,2014,1.0,0,N,V,V,U,620.0,Non-combustible,without,78646,non
H6176,2014,0.5,1,V,V,V,U,1000.0,Wood-framed,without,75115,non
H16814,2012,1.0,1,V,N,O,R,450.0,Non-combustible,5,77183,non
H13356,2012,1.0,0,N,V,V,U,2100.0,Fire-resistive,without,15900,non
H17265,2012,1.0,0,V,N,O,R,400.0,Ordinary,4,59350,oui
H14806,2012,1.0,0,N,V,V,U,605.0,Non-combustible,without,13206,non
H2215,2014,1.0,0,V,N,O,R,1000.0,Non-combustible,3,34172,oui
H19558,2016,0.5,0,V,N,O,R,2206.0,Fire-resistive,3,44204,non
H15086,2013,1.0,0,N,V,V,U,585.0,Fire-resistive,without,63178,non
H16246,2012,1.0,1,V,N,O,R,1484.0,Wood-framed,5,75106,non
H2613,2015,1.0,0,V,V,V,U,1384.0,Ordinary,without,94068,oui
H490,2015,1.0,0,V,N,O,R,500.0,Non-combustible,3,66136,non
H17613,2013,1.0,0,V,N,O,R,8200.0,Non-combustible,>=10,38382,oui
H16741,2013,1.0,1,V,N,O,R,5200.0,Fire-resistive,>=10,13077,oui
H14119,2016,1.0,0,V,N,O,R,1300.0,Ordinary,4,92075,non
H13579,2014,1.0,0,N,V,V,U,510.0,Non-combustible,without,64122,non
H5323,2013,0.5,0,N,V,V,U,1090.0,Non-combustible,without,26281,non
H4736,2014,1.0,0,N,V,V,U,5195.0,Non-combustible,without,13205,non
H1737,2012,1.0,1,V,V,V,U,730.0,Ordinary,without,94041,non
H5008,2015,1.0,0,V,V,V,U,960.0,Non-combustible,without,29232,non
H439,2015,1.0,0,V,V,V,U,165.0,Fire-resistive,without,86194,non
H19885,2016,0.5,0,V,N,O,R,1400.0,Fire-resistive,4,63075,oui
H13745,2014,1.0,0,N,V,V,U,600.0,Non-combustible,without,13202,non
H19906,2016,0.5,1,V,N,O,R,300.0,Non-combustible,3,13206,non
H18488,2014,1.0,0,V,N,O,R,630.0,Fire-resistive,4,74217,non
H160,2016,0.5,0,V,V,V,U,2000.0,Fire-resistive,without,91589,oui
H3869,2013,0.5,0,V,V,V,U,495.0,Fire-resistive,without,71076,non
H1385,2013,0.5,0,V,V,V,U,8893.0,Non-combustible,without,34902,oui
H17009,2013,1.0,0,V,N,O,R,3267.0,Non-combustible,6,34032,non
H17997,2013,1.0,1,V,N,O,R,1880.0,Ordinary,3,92014,oui
H4165,2013,1.0,1,V,V,V,U,200.0,Non-combustible,without,95607,non
H18274,2013,1.0,0,V,N,O,R,448.0,Fire-resistive,3,17299,non
H14258,2012,1.0,1,N,V,V,U,1680.0,Non-combustible,without,77053,non
H16240,2014,1.0,1,V,N,O,R,1200.0,Non-combustible,6,34301,non
H18140,2012,0.5,1,V,N,O,R,714.0,Ordinary,6,92012,non
H17502,2012,1.0,0,V,N,O,R,250.0,Fire-resistive,3,54321,non
H13506,2012,1.0,1,N,V,V,U,1690.0,Wood-framed,without,75116,non
H15520,2016,0.5,0,V,N,O,R,1540.0,Fire-resistive,4,74018,oui
H18636,2016,0.5,0,V,N,O,R,710.0,Fire-resistive,4,84054,non
H16520,2012,1.0,0,V,N,O,R,1239.0,Fire-resistive,3,32096,non
H3859,2016,0.5,0,V,N,O,R,1670.0,Fire-resistive,6,15014,non
H15691,2016,0.5,0,V,N,O,R,4400.0,Fire-resistive,6,42147,oui
H12648,2014,1.0,0,N,V,V,U,1105.0,Non-combustible,without,13207,non
H19080,2015,1.0,0,V,N,O,R,2412.0,Ordinary,4,64189,non
H4453,2015,1.0,0,N,V,V,U,685.0,Non-combustible,without,77431,non
H2162,2014,1.0,0,V,V,V,U,460.0,Non-combustible,without,68118,non
H5234,2013,0.5,0,V,V,V,U,367.0,Ordinary,without,64445,non
H16160,2013,0.5,1,V,N,O,R,234.0,Non-combustible,1,69266,non
H3792,2014,1.0,0,V,N,O,R,680.0,Fire-resistive,3,5023,non
H18139,2012,0.5,1,V,N,O,R,220.0,Ordinary,2,33063,non
H18151,2015,1.0,0,V,N,O,R,290.0,Fire-resistive,3,73116,non
H12710,2012,1.0,0,N,V,V,U,2200.0,Fire-resistive,without,84007,non
H17751,2016,0.5,1,V,N,O,R,10438.0,Non-combustible,4,66136,non
H1723,2016,0.5,0,N,V,V,U,200.0,Fire-resistive,without,45285,non
H7225,2012,1.0,1,N,V,V,U,220.0,Ordinary,without,92009,non
H4679,2014,1.0,0,N,V,V,U,820.0,Fire-resistive,without,50218,non
H13669,2013,1.0,0,N,V,V,U,360.0,Non-combustible,without,13208,non
H2435,2012,1.0,0,V,V,V,U,400.0,Non-combustible,without,13201,non
H13107,2016,0.5,0,N,V,V,U,820.0,Non-combustible,without,34301,oui
H552,2012,1.0,1,N,V,V,U,308.0,Fire-resistive,without,44070,non
H149,2013,1.0,0,V,V,V,U,450.0,Non-combustible,without,34172,non
H14833,2012,1.0,0,V,N,O,R,620.0,Ordinary,4,59599,non
H4862,2014,1.0,0,N,V,V,U,1182.0,Non-combustible,without,13209,non
H6429,2015,0.5,0,V,N,O,R,200.0,Ordinary,5,33063,non
H13498,2015,1.0,0,N,V,V,U,2907.0,Non-combustible,without,21231,non
H1864,2013,1.0,0,V,V,V,U,546.0,Non-combustible,without,13205,non
H1644,2016,1.0,0,V,N,O,R,728.0,Non-combustible,4,62201,non
H387,2012,1.0,0,V,V,V,U,2940.0,Fire-resistive,without,72132,non
H6206,2013,1.0,0,V,V,V,U,900.0,Non-combustible,without,83137,non
H6694,2016,0.5,1,V,N,O,R,815.0,Non-combustible,4,66124,non
H19939,2016,0.5,0,V,N,O,R,400.0,Fire-resistive,4,21054,non
H5450,2016,0.5,0,V,N,O,R,540.0,Non-combustible,3,77222,non
H16838,2013,1.0,0,V,N,O,R,8700.0,Non-combustible,5,31555,non
H19565,2016,0.5,0,V,N,O,R,11925.0,Non-combustible,4,30133,non
H16175,2012,1.0,1,V,N,O,R,4909.0,Non-combustible,5,31555,oui
H16113,2014,1.0,0,V,N,O,R,4780.0,Fire-resistive,4,86194,non
H15603,2014,1.0,1,V,N,O,R,240.0,Ordinary,2,92063,non
H19286,2015,0.5,0,V,V,V,U,,Non-combustible,without,,non
H5525,2016,1.0,0,V,V,V,U,2880.0,Fire-resistive,without,88196,non
H32,2013,1.0,0,N,V,V,U,1465.0,Non-combustible,without,69259,oui
H1631,2015,1.0,0,V,V,V,U,356.0,Fire-resistive,without,74173,non
H1613,2014,1.0,1,V,N,O,R,1050.0,Non-combustible,6,38151,non
H17410,2013,1.0,1,V,N,O,R,1970.0,Wood-framed,5,75120,oui
H222,2014,1.0,0,V,V,V,U,1879.0,Non-combustible,without,14488,non
H5235,2012,0.5,0,N,V,V,U,670.0,Fire-resistive,without,42187,non
H4071,2015,1.0,0,V,V,V,U,9400.0,Wood-framed,without,6083,oui
H18602,2014,1.0,0,V,N,O,R,1200.0,Non-combustible,7,13206,non
